"SQINC1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income"
"" 
"Bureau of Economic Analysis" 
"State or DC"
"GeoFips","GeoName","LineCode","Description","2010:Q1","2010:Q2","2010:Q3","2010:Q4","2011:Q1","2011:Q2","2011:Q3","2011:Q4","2012:Q1","2012:Q2","2012:Q3","2012:Q4","2013:Q1","2013:Q2","2013:Q3","2013:Q4","2014:Q1","2014:Q2","2014:Q3","2014:Q4","2015:Q1","2015:Q2","2015:Q3","2015:Q4","2016:Q1","2016:Q2","2016:Q3","2016:Q4","2017:Q1","2017:Q2","2017:Q3","2017:Q4","2018:Q1","2018:Q2","2018:Q3","2018:Q4","2019:Q1","2019:Q2","2019:Q3","2019:Q4","2020:Q1","2020:Q2","2020:Q3","2020:Q4","2021:Q1","2021:Q2"
"01000","Alabama","1","Personal income (millions of dollars, seasonally adjusted)",158974.3,161723.0,164445.3,164981.8,167490.6,167761.6,169022.7,169622.4,171805.2,173476.2,171972.3,176192.9,174319.6,175041.3,176099.1,175281.1,176964.1,179958.8,182473.3,184918.8,187220.2,188690.9,190223.3,190327.5,191035.2,191663.8,192797.1,193957.6,196422.1,198319.2,200206.0,202398.4,204314.2,205852.5,207951.3,210096.3,213396.1,215146.5,216621.6,218557.3,221523.4,240126.6,227926.7,225418.5,259487.6,237403.1
"01000","Alabama","2","Population (midperiod, persons) 1/",4777041,4782770,4788032,4792367,4795107,4797815,4802349,4807247,4811070,4814535,4819450,4824247,4826744,4829571,4833698,4837723,4840041,4842263,4846064,4849924,4851546,4853403,4856986,4860795,4862857,4865180,4868953,4872717,4874595,4876408,4880452,4884778,4886938,4889702,4894401,4899364,4902271,4905709,4910975,4916419,4919385,4920954,4924127,4928670,4930141,4932200
"01000","Alabama","3","Per capita personal income (dollars) 2/",33279,33814,34345,34426,34929,34966,35196,35285,35710,36032,35683,36522,36115,36244,36432,36232,36563,37164,37654,38128,38590,38878,39165,39156,39285,39395,39597,39805,40295,40669,41022,41435,41808,42099,42488,42882,43530,43856,44110,44455,45031,48797,46288,45736,52633,48133
"02000","Alaska *","1","Personal income (millions of dollars, seasonally adjusted)",34651.2,35225.2,35775.1,36156.5,36982.7,37735.0,38311.9,38897.4,38971.6,39289.6,39137.2,39665.6,38716.5,38734.6,39155.8,39305.2,40486.2,41091.7,41423.0,41839.0,42474.1,42605.6,42582.9,42557.8,41302.0,41479.3,42000.6,42567.7,41651.8,42175.0,42768.3,43393.3,43472.0,43792.8,44420.4,44725.6,44935.0,45230.1,45370.6,45639.8,45435.5,48456.2,46041.0,45788.5,50812.8,47715.2
"02000","Alaska *","2","Population (midperiod, persons) 1/",708447,712121,715110,717287,719281,721284,723477,725652,727712,729758,731774,733633,735202,736761,737598,737598,737379,737141,737359,737840,738031,738269,739008,740106,741037,742012,742454,742186,741673,741148,740519,739538,738291,737131,736322,735674,734770,733948,733448,733072,732407,731605,730832,730138,729197,728469
"02000","Alaska *","3","Per capita personal income (dollars) 2/",48911,49465,50027,50407,51416,52316,52955,53603,53554,53839,53483,54067,52661,52574,53086,53288,54905,55745,56177,56705,57551,57710,57622,57502,55735,55901,56570,57354,56159,56905,57754,58676,58882,59410,60327,60795,61155,61626,61859,62258,62036,66233,62998,62712,69683,65501
"04000","Arizona","1","Personal income (millions of dollars, seasonally adjusted)",212514.4,215895.3,218305.1,220779.8,225298.6,226595.5,228483.4,230422.8,234167.8,237047.1,235982.2,244039.0,240161.4,243169.5,244888.4,246790.0,252123.8,255360.9,258837.9,262766.6,267031.2,270117.2,271265.9,274847.8,278633.4,280605.8,283136.0,285965.4,292163.5,295884.6,299482.5,304089.0,310873.0,313873.5,317857.4,320324.8,330189.4,332605.7,334720.3,338580.3,350283.0,385259.1,374902.4,363390.1,409853.9,379521.8
"04000","Arizona","2","Population (midperiod, persons) 1/",6385037,6399687,6416798,6434549,6449896,6465163,6484811,6506673,6526567,6546070,6567653,6588918,6606778,6624834,6647932,6674067,6697498,6720717,6746899,6773603,6796911,6820390,6847944,6877272,6903891,6930680,6958940,6986514,7010943,7035055,7063884,7094536,7121796,7149569,7181461,7214922,7245115,7275739,7310196,7345938,7378105,7407412,7439087,7473388,7503701,7534248
"04000","Arizona","3","Per capita personal income (dollars) 2/",33283,33735,34021,34312,34931,35049,35234,35413,35879,36212,35931,37038,36351,36706,36837,36977,37644,37996,38364,38793,39287,39604,39613,39965,40359,40487,40687,40931,41673,42059,42396,42862,43651,43901,44261,44398,45574,45714,45788,46091,47476,52010,50396,48625,54620,50373
"05000","Arkansas","1","Personal income (millions of dollars, seasonally adjusted)",91976.1,94257.5,95914.2,96156.4,99525.5,99724.8,101212.0,102494.7,106004.7,107754.5,106758.9,110991.0,107782.3,108226.1,108785.2,108677.5,111803.6,114221.9,115468.9,117478.9,117047.3,118150.5,119449.8,120230.4,120699.4,121458.6,122279.1,122866.5,124270.5,125062.4,126010.2,127776.6,128331.4,130130.6,131577.6,133421.1,134022.9,134512.9,135831.7,136843.3,138921.8,150394.2,141548.5,141726.9,162901.7,149122.2
